L,cL
1,4
2,12
3,36
4,100.004976
5,384.991805
6,780.1517025
7,44094.28382
8,5814.981331
9,16270.83805
10,44094.28382
11,120272.9443
12,324780.1544
13,881869.8312
14,2373885.604
15,6414435.803
16,17234192.04
17,46440640.34
18,124670367.2
19,334882547.3
20,897865358
21,2410291086
22,6440263653
23,17267049244
24,46167929959
25,1.23459E+11
26,3.29773E+11
27,8.81181E+11
28,2.35137E+12
29,6.27833E+12
30,1.6741E+13
31,4.46984E+13
32,1.18692E+14
33,3.17221E+14
34,8.44447E+14
35,2.2566E+15
36,5.99231E+15
37,1.59451E+16
38,4.23787E+16
39,1.13025E+17
40,3.00393E+17
41,8.01042E+17
42,2.12264E+18
43,5.63143E+18
44,1.50111E+19
45,4.06423E+19
46,1.05568E+20
47,2.83374E+20
48,7.52752E+20
49,1.99733E+21
50,5.32546E+21
100,5.15946E+42
200,1.33437E+85
300,2.1195E+127
400,1.998E+171
500,6.2287E+213
600,5.925E+252
700,2.6413E+294
